# this is a particularly early version of the catalog, exclusively for those who have no access to the repo at all.
item_id	display_name
ARACK	Arack
ASPECT_OF_THE_DRAGON	Aspect of the Dragons
ASPECT_OF_THE_END	Aspect of the End
ASPECT_OF_THE_JERRY	Aspect of the Jerry
ASPECT_OF_THE_JERRY_SIGNATURE	Aspect of the Jerry, Signature Edition
ASTRAEA	Astraea
ATOMSPLIT_KATANA	Atomsplit Katana
AXE_OF_THE_SHREDDED	Halberd of the Shredded
BLADE_OF_THE_VOLCANO	Blade of the Volcano
BONE_REAVER	Bone Reaver
BURSTFIRE_DAGGER	Kindlebane Dagger
BURSTMAW_DAGGER	Mawdredge Dagger
CACTUS_KNIFE	Cactus Knife Mk. I
CACTUS_KNIFE_2	Cactus Knife Mk. II
CACTUS_KNIFE_3	Cactus Knife Mk. III
CLEAVER	Cleaver
CONJURING_SWORD	Conjuring
CRYPT_DREADLORD_SWORD	Dreadlord Sword
CRYPT_WITHERLORD_SWORD	Crypt Witherlord Sword
CUTLASS	Cutlass
DAEDALUS_AXE	Daedalus Blade
DARK_CLAYMORE	Dark Claymore
DIAMOND_SWORD	Diamond Sword
DWARVEN_LAPIS_SWORD	Scavenged Lapis Sword
EARTH_SHARD	Earthen Blade
EMERALD_BLADE	Emerald Blade
END_STONE_SWORD	End Stone Sword
END_SWORD	End Sword
ENRAGER	Enrager
FANCY_SWORD	Fancy Sword
FELTHORN_REAPER	Felthorn Reaper
FEL_SWORD	Fel Sword
FEROCITY_SWORD_150	Ferocity Sword 150
FEROCITY_SWORD_50	Ferocity Sword 50
FIREDUST_DAGGER	Firedust Dagger
FLAMING_SWORD	Flaming Sword
FLORID_ZOMBIE_SWORD	Florid Zombie Sword
GIANTS_EYE_SWORD	Giant's Eye Sword
GIANTS_SWORD	Giant's Sword
GIANT_CLEAVER	Giant Cleaver
GOLD_SWORD	Golden Sword
GOLEM_SWORD	Golem Sword
GREAT_SPOOK_SWORD	Great Spook Sword
HARVESTING_SWORD	Harvesting Sword
HEARTFIRE_DAGGER	Pyrochaos Dagger
HEARTMAW_DAGGER	Deathripper Dagger
HUNTER_KNIFE	Hunter Knife
HYPERION	Hyperion
HYPER_CLEAVER	Hyper Cleaver
IRON_SWORD	Iron Sword
LEAPING_SWORD	Leaping Sword
LEECH_SWORD	Leech Sword
LIVID_DAGGER	Livid Dagger
MAWDUST_DAGGER	Twilight Dagger
MERCENARY_AXE	Mercenary Sword
MIDAS_SWORD	Midas' Sword
NECROMANCER_SWORD	Necromancer Sword
NECRON_BLADE	Necron's Blade (Unrefined)
NOVA_SWORD	Sword of the Universe
ORNATE_ZOMBIE_SWORD	Ornate Zombie Sword
PIGMAN_SWORD	Pigman Sword
POOCH_SWORD	Pooch Sword
PRISMARINE_BLADE	Prismarine Blade
RAGNAROCK_AXE	Ragnarock
RAIDER_AXE	Raider Sword
REAPER_SWORD	Reaper Falchion
RECLUSE_FANG	Recluse Fang
REVENANT_SWORD	Revenant Falchion
ROGUE_SWORD	Rogue Sword
SCORPION_FOIL	Scorpion Foil
SCYLLA	Scylla
SHADOW_FURY	Shadow Fury
SHAMAN_SWORD	Shaman Sword
SILENT_DEATH	Silent Death
SILK_EDGE_SWORD	Silk-Edge Sword
SILVERTWIST_KARAMBIT	Silver-Twist Karambit
SILVER_LACED_KARAMBIT	Silver-Laced Karambit
SPIDER_SWORD	Spider Sword
SPIRIT_SWORD	Spirit Sword
SQUIRE_SWORD	Squire Sword
STARRED_DAEDALUS_AXE	Daedalus Blade
STARRED_FELTHORN_REAPER	Felthorn Reaper
STARRED_MIDAS_SWORD	Midas' Sword
STARRED_SHADOW_FURY	Shadow Fury
STARRED_STONE_BLADE	Adaptive Blade
STARRED_YETI_SWORD	Yeti Sword
STAR_SWORD	Sword of the Stars
STAR_SWORD_3000	Sword of the Stars 3000
STAR_SWORD_9000	Sword of the Stars 9000
STING	Sting
STONE_BLADE	Adaptive Blade
STONE_SWORD	Stone Sword
SUPER_CLEAVER	Super Cleaver
SWORD_OF_BAD_HEALTH	Sword of Bad Health
SWORD_OF_REVELATIONS	Sword of Revelations
SWORD_OF_THE_MULTIVERSE	Sword of the Multiverse
TACTICIAN_MURDER_WEAPON	Tactician's Murder Weapon
TACTICIAN_SWORD	Tactician's Sword
TARANTULA_FANG	Tarantula Fang
TORMENTOR	Tormentor
UNDEAD_SWORD	Undead Sword
VALKYRIE	Valkyrie
VENOMOUS_SWORD	Venomous Sword
VOIDEDGE_KATANA	Voidedge Katana
VOIDWALKER_KATANA	Voidwalker Katana
VOID_SWORD	Void Sword
VORPAL_KATANA	Vorpal Katana
WITHER_CLOAK	Wither Cloak Sword
WOOD_SWORD	Wooden Sword
WYLD_SWORD	Wyld Sword
YETI_SWORD	Yeti Sword
ZOMBIE_KNIGHT_SWORD	Zombie Knight Sword
ZOMBIE_SOLDIER_CUTLASS	Zombie Soldier Cutlass
ZOMBIE_SWORD	Zombie Sword
